feature,importance
cat__unified_district_name_Hesperia Unified,0.0
cat__unified_district_name_Inglewood Unified,0.0
cat__CountyOrParish_Glenn,0.0
cat__unified_district_name_John Swett Unified,0.0
cat__unified_district_name_Jurupa Unified,0.0
cat__unified_district_name_Kelseyville Unified,0.0
cat__unified_district_name_Konocti Unified,0.0
cat__unified_district_name_La Canada Unified,0.0
cat__unified_district_name_Laguna Beach Unified,0.0
cat__unified_district_name_Lakeport Unified,0.0
cat__unified_district_name_Lammersville Joint Unified,0.0
cat__unified_district_name_Las Virgenes Unified,0.0
cat__unified_district_name_Livermore Valley Joint Unified,0.0
cat__unified_district_name_Lodi Unified,0.0
cat__unified_district_name_Lompoc Unified,0.0
cat__unified_district_name_Long Beach Unified,0.0
cat__unified_district_name_Los Alamitos Unified,0.0
cat__CountyOrParish_Mariposa,0.0
cat__unified_district_name_Lucerne Valley Unified,0.0
cat__unified_district_name_Lucia Mar Unified,0.0
cat__unified_district_name_Gilroy Unified,0.0
cat__unified_district_name_Fresno Unified,0.0
cat__unified_district_name_Chawanakee Unified,0.0
cat__unified_district_name_Fremont Unified,0.0
cat__unified_district_name_Chico Unified,0.0
cat__unified_district_name_Chino Valley Unified,0.0
cat__unified_district_name_Claremont Unified,0.0
cat__unified_district_name_Clovis Unified,0.0
cat__unified_district_name_Coachella Valley Unified,0.0
cat__unified_district_name_Coalinga-Huron Unified,0.0
cat__unified_district_name_Coast Unified,0.0
cat__unified_district_name_Colton Joint Unified,0.0
cat__unified_district_name_Conejo Valley Unified,0.0
cat__unified_district_name_Corona-Norco Unified,0.0
cat__unified_district_name_Coronado Unified,0.0
cat__unified_district_name_Covina-Valley Unified,0.0
cat__unified_district_name_Culver City Unified,0.0
cat__unified_district_name_Desert Sands Unified,0.0
cat__unified_district_name_Duarte Unified,0.0
cat__unified_district_name_Dublin Unified,0.0
cat__unified_district_name_Durham Unified,0.0
cat__unified_district_name_El Rancho Unified,0.0
cat__unified_district_name_El Segundo Unified,0.0
cat__unified_district_name_El Tejon Unified,0.0
cat__unified_district_name_Elk Grove Unified,0.0
cat__unified_district_name_Fairfield-Suisun Unified,0.0
cat__unified_district_name_Fillmore Unified,0.0
cat__unified_district_name_Fontana Unified,0.0
cat__unified_district_name_Fort Bragg Unified,0.0
cat__unified_district_name_Irvine Unified,0.0
